3707,4290
2865,3299
2403,2989
2525,3020
4726,3878
4265,3728
1917,3411
1067,1556
4359,3921
2557,3581
1631,2611
4793,4059
4226,618
34,4666
1219,3600
1510,483
2354,3449
3539,923
1260,4966
3466,3432
4772,1687
4613,3262
4907,1602
4672,4001
1666,2521
3499,3953
4388,4
2801,3964
2452,4426
1917,2124
4534,2750
2312,2335
1214,4916
470,3670
393,1998
3886,3920
1756,3085
925,134
4610,3604
2648,3753
1797,1879
1142,1094
2953,15
1038,3105
2738,2590
3267,1575
774,222
4778,1521
1494,2289
1529,2941
4101,2641
771,4693
4457,937
2304,3080
4816,41
3530,3268
3231,3400
3042,4590
4198,2917
4853,1338
840,3219
4790,121
3425,3939
4876,624
1792,4120
3364,989
19,3985
4830,2345
2802,407
2411,1630
2816,488
4993,4979
4238,3551
4011,4838
160,1673
1684,440
1301,2259
325,4312
101,1367
1496,2976
3373,483
593,3689
3946,3918
929,771
1184,3886
1595,4232
2613,3630
1477,1602
3,2841
3226,946
3719,1807
3095,4162
357,3515
4560,1305
123,3426
2555,2736
839,4882
1854,1691
4583,1304
4333,4344
30,2768
4926,4088
2867,1522
2430,2689
3619,2936
2502,1360
1553,1798
4270,1897
3815,1439
1643,3292
2759,2918
1807,4433
4962,3848
4033,2890
1159,2125
2121,3169
2092,4746
3267,609
4858,249
3359,204
1680,447
149,2461
4230,2430
2275,2150
2670,2224
489,4449
1244,285
2034,1965
1562,777
2514,979
467,4638
1254,2569
4279,4888
683,4691
2130,99
4799,3744
282,3778
2171,2526
4425,2764
4089,2674
4552,4553
4125,714
2902,1941
4699,3932
3765,101
1992,1497
4921,590
1391,4295
387,4945
3689,3745
4304,1714
1047,216
1731,2148
4390,3316
319,3959
3380,2015
1387,161
4859,4076
3502,2113
1743,2324
1479,334
993,499
1961,1551
125,353
2097,273
4895,1835
2666,2524
4091,3917
1723,649
388,4745
3660,4302
531,2643
3211,4490
4360,3882
2298,3446
1224,2113
1107,177
4182,2578
2125,1289
3391,1288
2300,4961
861,1855
2200,2703
353,3009
644,2138
4614,561
2221,1314
1757,4384
3979,2909
1421,4975
210,2216
765,3109
1392,3422
4223,3121
2354,2517
152,4009
3722,4244
457,1961
1506,2018
9,1747
3805,1330
2830,668
418,2786
3073,1733
3180,841
4624,2085
4786,1551
1798,1098
1353,1982
2602,2204
253,2388
4217,4083
227,1999
893,660
1530,2892
2171,4105
1975,4909
2380,2427
2792,2165
2936,4181
210,1421
3537,3743
2529,1965
524,916
2490,780
3402,2724
121,3122
4223,3679
703,3220
4687,4198
4476,3156
4503,4752
4686,1194
3960,4442
3270,4074
2786,1174
655,3219
1262,2046
1167,4134
4239,2275
368,3821
1041,4745
1866,4437
3383,3630
1044,2005
2694,3791
1096,1477
3028,4825
760,3117
2866,3570
3911,3325
4393,3911
2699,1194
1701,3123
2657,1285
470,3619
2770,3292
616,683
949,1867
450,2332
4056,2155
3497,504
2064,1457
191,1575
438,753
2166,4326
3238,1858
4687,3716
1551,3558
3580,2685
3082,4585
3523,1118
3389,4860
2214,2824
4592,30
3245,1739
600,2938
803,1490
4262,2539
2248,2902
2442,210
1792,3547
583,3341
2388,2682
183,1094
4551,4146
4484,2369
2990,1789
3215,573
1643,2431
1041,4829
3303,2213
2474,3998
2538,3958
1894,367
844,3376
332,221
3117,1598
3917,3390
1361,3507
790,790
519,2678
1198,98
2373,987
3305,1851
1661,4313
4262,932
808,4056
3387,4657
2200,2372
4057,3619
720,913
3406,416
1316,3849
4028,2882
3477,76
1725,1585
1569,1403
2038,2623
443,213
3623,422
1985,4870
1682,1342
2600,4425
654,424
3076,3723
3656,4079
59,4616
3810,3070
3973,4531
1003,3760
4726,4199
2519,605
1254,1582
4258,1318
1177,4640
2939,3242
2431,4819
2788,281
2319,1678
1441,841
2019,4582
2092,3208
1711,1297
1261,4243
3315,3069
616,4866
4655,3067
3621,4919
3161,3066
2603,1682
4912,3306
4369,3763
265,822
1530,4687
3714,2072
4292,1476
4902,36
3276,3904
2663,1229
2882,3814
1908,4408
640,2982
240,181
3797,4194
3220,2564
913,2739
701,1678
3924,4543
1439,4853
2645,3697
3717,61
4948,3710
4000,2047
3064,4500
2171,4952
3259,592
4345,2573
2076,1961
3508,4281
721,824
4282,3699
3801,3007
1925,3397
884,2735
2141,1273
1774,4792
3684,3919
2379,4170
3151,4770
4968,598
855,4634
45,2924
440,93
4538,3578
4265,4095
3465,3598
2536,3350
3599,994
3357,654
2625,3025
501,1732
3397,3262
56,2759
627,1109
1797,3861
4689,1937
663,4563
1741,1668
616,740
1550,1130
1244,2990
3176,3472
4348,2501
3487,3775
4276,4027
4066,4288
2347,4225
1726,4943
3532,2696
2805,1201
2567,2003
231,3190
104,2015
3217,3677
1601,4991
4672,4352
3019,2896
1425,2913
3736,4131
4018,3571
1852,2109
3429,3268
3292,1569
1774,3041
3840,160
567,4117
1550,3408
3482,3611
2661,4895
3153,4155
843,1521
3206,4771
4195,76
209,3095
3750,190
1589,4360
3632,2224
342,805
3013,582
2206,850
316,4353
2190,4730
2961,292
71,1466
1980,170
1103,4531
3618,3721
4341,2388
3662,4008
1913,2710
776,2576
4891,1074
3766,846
249,1681
17,1768
2600,2467
3849,3392
3489,3953
3359,1821
706,1456
1775,949
2560,56
2991,360
411,87
493,2318
4405,72
3929,126
2535,343
3758,2048
4205,4639
3251,2840
1723,2094
4274,3485
3522,3720
4073,1540
3069,1589
2930,3673
2974,2751
2912,4674
4640,2839
4956,798
1849,3351
3893,1909
3323,3487
3071,3378
4652,693
2255,1236
990,926
2541,4420
350,1705
1739,751
2559,2288
4884,3850
4352,4234
1869,1070
1705,3116
3696,3287
4893,2148
2195,4593
740,1821
2715,1275
1918,3136
1875,3851
4693,1445
2991,2751
3952,2562
4674,2668
3528,275
1182,2358
4620,768
3482,1105
4505,3381
3509,4327
804,345
4250,3804
3151,314
647,1218
584,1162
3987,1187
403,2080
2344,4354
371,1944
4640,4463
4763,2834
817,2980
1935,71
4193,1580
1850,3268
1574,2471
1038,3682
1211,759
919,4403
4731,4350
3454,3764
1403,678
4309,722
2193,3138
4895,2819
1068,3139
2428,3716
2982,2374
1346,4640
1783,2741
1252,358
1218,4408
4943,2498
622,522
